event,detId,x,y,z,width,isSeed,mip,modType
14,420746298,557,0,0,1,0,0,2
14,420746297,558,6,6,1,1,0,2
15,420009106,636,1,0,2,0,0,1
15,420009105,637,1,0,2,1,0,1
15,411350034,206,0,0,1,0,0,1
15,411350033,207,0,0,1,1,0,1
15,419738742,803,0,0,1,0,0,1
15,419738741,803,0,0,1,1,0,1
15,438572042,202,0,0,1,0,1,2
15,438572041,200,30,14,1,1,0,2
15,439618578,63,0,0,1,0,1,2
15,438573066,236,0,0,1,0,1,2
15,438573065,234,4,4,1,1,0,2
15,439618577,63,20,4,1,1,0,2
15,437786670,120,0,0,2,0,1,2
15,437786669,123,26,10,2,1,0,2
15,439887958,445,0,0,3,0,1,2
15,439887957,447,13,13,1,1,0,2
15,439887957,438,14,14,3,1,0,2
15,411878426,152,1,0,1,0,0,1
15,411878425,153,1,0,2,1,0,1
15,438837310,496,0,0,2,0,0,2
15,438837309,497,5,5,1,1,0,2
15,437525514,730,0,0,1,0,1,2
15,437525513,731,11,11,2,1,0,2
15,420267178,223,1,0,1,0,0,1
15,420267177,224,1,0,1,1,0,1
15,411620374,781,1,0,1,0,0,1
15,411620373,782,1,0,1,1,0,1
15,411620373,791,1,0,4,1,0,1
16,440170518,863,0,0,2,0,0,2
16,440170517,864,10,10,1,1,0,2
16,438057998,714,0,0,1,0,0,2
16,442287146,616,0,0,1,0,0,1
16,442287145,615,0,0,1,1,0,1
16,439099434,332,0,0,1,0,1,2
16,438057997,716,21,5,1,1,0,2
16,439099433,333,25,9,2,1,0,2
16,440151098,543,0,0,2,0,0,2
16,440151097,544,2,2,1,1,0,2
16,443349030,435,0,0,1,0,0,1
16,443349029,433,0,0,1,1,0,1
16,437781530,850,0,0,2,0,0,2
16,437781529,855,6,6,1,1,0,2
16,441228330,284,1,0,1,0,0,1
16,441228329,282,1,0,1,1,0,1
16,441202754,190,0,0,2,0,0,1
16,441202753,191,0,0,1,1,0,1
16,442254402,0,1,0,2,0,0,1
16,442254401,1,1,0,1,1,0,1
16,439112722,560,0,0,1,0,0,2
16,443308102,157,1,0,2,0,0,1
16,443308101,160,1,0,1,1,0,1
16,439112721,559,20,4,1,1,0,2
16,438048798,778,0,0,2,0,0,2
16,438048797,782,27,11,2,1,0,2
17,437527622,376,0,0,2,0,0,2
17,437527621,377,8,8,1,1,0,2
17,438833198,450,0,0,1,0,1,2
17,438833197,450,11,11,4,1,0,2
17,439622794,375,0,0,2,0,0,2
17,439622793,375,14,14,1,1,0,2
17,437783586,672,0,0,2,0,0,2
17,437783585,674,18,2,1,1,0,2
17,441234450,561,0,0,2,0,0,1
17,441234449,561,0,0,1,1,0,1
17,442262622,334,0,0,2,0,0,1
17,442262621,336,0,0,2,1,0,1
17,411366682,115,0,0,2,0,0,1
17,411366681,117,0,0,1,1,0,1
17,438575202,292,0,0,1,0,1,2
17,442294278,569,1,0,2,0,0,1
17,442294277,568,1,0,2,1,0,1
17,441208914,328,1,0,5,0,0,1
17,441208914,335,1,0,1,0,0,1
17,441208914,348,1,0,5,0,0,1
17,441208913,348,1,0,2,1,0,1
17,438575201,290,23,7,2,1,0,2
17,439882814,82,0,0,1,0,1,2
17,439882813,81,19,3,2,1,0,2
18,439878782,310,0,0,2,0,0,2
18,439113774,153,0,0,1,0,1,2
18,439113773,152,3,3,1,1,0,2
18,437529630,350,0,0,2,0,0,2
18,437529629,351,6,6,1,1,0,2
18,439626810,386,0,0,1,0,1,2
18,439626809,385,6,6,1,1,0,2
18,440171582,299,0,0,1,0,1,2
18,440171581,299,16,0,2,1,0,2
18,438578218,714,0,0,1,0,1,2
18,438578217,714,15,15,2,1,0,2
18,438059038,708,0,0,2,0,0,2
18,438059037,712,3,3,2,1,0,2
18,441206814,832,1,0,1,0,0,1
18,441206813,830,1,0,1,1,0,1
18,441230406,599,1,0,1,0,0,1
18,441230405,600,1,0,2,1,0,1
18,442289226,546,1,0,2,0,0,1
18,442289225,548,1,0,2,1,0,1
18,443315218,509,1,0,2,0,0,1
18,443315217,507,1,0,1,1,0,1
18,442260506,651,0,0,1,0,0,1
18,442260505,649,0,0,2,1,0,1
18,443351122,589,1,0,2,0,0,1
18,443351121,592,1,0,2,1,0,1
19,440173594,202,0,0,2,0,1,2
19,441232414,655,1,0,4,0,0,1
19,441232414,726,1,0,2,0,0,1
19,440173593,204,20,4,2,1,0,2
19,441209914,543,0,0,1,0,0,1
19,441209913,541,0,0,1,1,0,1
19,441232422,641,0,0,3,0,0,1
19,441232422,796,0,0,2,0,0,1
19,441232421,670,0,0,6,1,0,1
19,441232421,722,0,0,2,1,0,1
19,441232421,741,0,0,4,1,0,1
19,441232421,746,0,0,4,1,0,1
